,geometry,address
0,POINT (37.842555 55.779747),"МКАД, 0-й километр, внешняя сторона, Москва, Россия"
1,POINT (37.84313 55.774527),"МКАД, 1-й километр, внешняя сторона, Москва, Россия"
2,POINT (37.843157 55.765483),"МКАД, 2-й километр, внешняя сторона, Москва, Россия"
3,POINT (37.842681 55.756447),"МКАД, 3-й километр, внешняя сторона, Москва, Россия"
4,POINT (37.842223 55.747546),"МКАД, 4-й километр, внешняя сторона, Москва, Россия"
5,POINT (37.841576 55.73888),"МКАД, 5-й километр, внешняя сторона, Москва, Россия"
6,POINT (37.840516 55.730101),"МКАД, 6-й километр, внешняя сторона, Москва, Россия"
7,POINT (37.839402 55.721072),"МКАД, 7-й километр, внешняя сторона, Москва, Россия"
8,POINT (37.83721 55.711671),"МКАД, 8-й километр, внешняя сторона, Москва, Россия"
9,POINT (37.832602 55.703053),"МКАД, 9-й километр, внешняя сторона, Москва, Россия"
10,POINT (37.829503 55.694353),"МКАД, 10-й километр, внешняя сторона, Москва, Россия"
11,POINT (37.831335 55.685391),"МКАД, 11-й километр, внешняя сторона, Москва, Россия"
12,POINT (37.834731 55.676605),"МКАД, 12-й километр, внешняя сторона, Москва, Россия"
13,POINT (37.837911 55.667879),"МКАД, 13-й километр, внешняя сторона, Москва, Россия"
14,POINT (37.839663 55.658363),"МКАД, 14-й километр, внешняя сторона, Москва, Россия"
15,POINT (37.833985 55.64984),"МКАД, 15-й километр, внешняя сторона, Москва, Россия"
16,POINT (37.824418 55.64347),"МКАД, 16-й километр, внешняя сторона, Москва, Россия"
17,POINT (37.813989 55.636656),"МКАД, 17-й километр, внешняя сторона, Москва, Россия"
18,POINT (37.803595 55.629867),"МКАД, 18-й километр, внешняя сторона, Москва, Россия"
19,POINT (37.7934 55.623397),"МКАД, 19-й километр, внешняя сторона, Москва, Россия"
20,POINT (37.781775 55.617358),"МКАД, 20-й километр, внешняя сторона, Москва, Россия"
21,POINT (37.7699 55.610799),"МКАД, 21-й километр, внешняя сторона, Москва, Россия"
22,POINT (37.759048 55.604824),"МКАД, 22-й километр, внешняя сторона, Москва, Россия"
23,POINT (37.747532 55.599265),"МКАД, 23-й километр, внешняя сторона, Москва, Россия"
24,POINT (37.735 55.594016),"МКАД, 24-й километр, внешняя сторона, Москва, Россия"
25,POINT (37.722343 55.588694),"МКАД, 25-й километр, внешняя сторона, Москва, Россия"
26,POINT (37.709317 55.583703),"МКАД, 26-й километр, внешняя сторона, Москва, Россия"
27,POINT (37.696121 55.578783),"МКАД, 27-й километр, внешняя сторона, Москва, Россия"
28,POINT (37.682655 55.573897),"МКАД, 28-й километр, внешняя сторона, Москва, Россия"
29,POINT (37.665138 55.571897),"МКАД, 29-й километр, внешняя сторона, Москва, Россия"
30,POINT (37.648088 55.57291),"МКАД, 30-й километр, внешняя сторона, Москва, Россия"
31,POINT (37.63332 55.57377),"МКАД, 31-й километр, внешняя сторона, Москва, Россия"
32,POINT (37.617321 55.574716),"МКАД, 32-й километр, внешняя сторона, Москва, Россия"
33,POINT (37.601412 55.575633),"МКАД, 33-й километр, внешняя сторона, Москва, Россия"
34,POINT (37.58632 55.577678),"МКАД, 34-й километр, внешняя сторона, Москва, Россия"
35,POINT (37.57192 55.581129),"МКАД, 35-й километр, внешняя сторона, Москва, Россия"
36,POINT (37.557224 55.584639),"МКАД, 36-й километр, внешняя сторона, Москва, Россия"
37,POINT (37.542177 55.588247),"МКАД, 37-й километр, внешняя сторона, Москва, Россия"
38,POINT (37.526681 55.591955),"МКАД, 38-й километр, внешняя сторона, Москва, Россия"
39,POINT (37.512407 55.595806),"МКАД, 39-й километр, внешняя сторона, Москва, Россия"
40,POINT (37.501591 55.602698),"МКАД, 40-й километр, внешняя сторона, Москва, Россия"
41,POINT (37.492868 55.610189),"МКАД, 41-й километр, внешняя сторона, Москва, Россия"
42,POINT (37.484604 55.617281),"МКАД, 42-й километр, внешняя сторона, Москва, Россия"
43,POINT (37.476169 55.624515),"МКАД, 43-й километр, внешняя сторона, Москва, Россия"
44,POINT (37.467527 55.631935),"МКАД, 44-й километр, внешняя сторона, Москва, Россия"
45,POINT (37.458544 55.639613),"МКАД, 45-й километр, внешняя сторона, Москва, Россия"
46,POINT (37.449237 55.647569),"МКАД, 46-й километр, внешняя сторона, Москва, Россия"
47,POINT (37.440604 55.654752),"МКАД, 47-й километр, внешняя сторона, Москва, Россия"
48,POINT (37.432609 55.661917),"МКАД, 48-й километр, внешняя сторона, Москва, Россия"
49,POINT (37.425773 55.670544),"МКАД, 49-й километр, внешняя сторона, Москва, Россия"
50,POINT (37.419512 55.67893),"МКАД, 50-й километр, внешняя сторона, Москва, Россия"
51,POINT (37.414706 55.687411),"МКАД, 51-й километр, внешняя сторона, Москва, Россия"
52,POINT (37.407627 55.695342),"МКАД, 52-й километр, внешняя сторона, Москва, Россия"
53,POINT (37.397853 55.702561),"МКАД, 53-й километр, внешняя сторона, Москва, Россия"
54,POINT (37.388745 55.709485),"МКАД, 54-й километр, внешняя сторона, Москва, Россия"
55,POINT (37.383283 55.718294),"МКАД, 55-й километр, внешняя сторона, Москва, Россия"
56,POINT (37.378603 55.727445),"МКАД, 56-й километр, внешняя сторона, Москва, Россия"
57,POINT (37.374048 55.736331),"МКАД, 57-й километр, внешняя сторона, Москва, Россия"
58,POINT (37.369826 55.745068),"МКАД, 58-й километр, внешняя сторона, Москва, Россия"
59,POINT (37.368874 55.753874),"МКАД, 59-й километр, внешняя сторона, Москва, Россия"
60,POINT (37.369053 55.762596),"МКАД, 60-й километр, внешняя сторона, Москва, Россия"
61,POINT (37.369287 55.771742),"МКАД, 61-й километр, внешняя сторона, Москва, Россия"
62,POINT (37.36953 55.780704),"МКАД, 62-й километр, внешняя сторона, Москва, Россия"
63,POINT (37.373024 55.790109),"МКАД, 63-й километр, внешняя сторона, Москва, Россия"
64,POINT (37.380022 55.797437),"МКАД, 64-й километр, внешняя сторона, Москва, Россия"
65,POINT (37.38666 55.805386),"МКАД, 65-й километр, внешняя сторона, Москва, Россия"
66,POINT (37.390092 55.814912),"МКАД, 66-й километр, внешняя сторона, Москва, Россия"
67,POINT (37.392787 55.823535),"МКАД, 67-й километр, внешняя сторона, Москва, Россия"
68,POINT (37.395185 55.832197),"МКАД, 68-й километр, внешняя сторона, Москва, Россия"
69,POINT (37.394305 55.841149),"МКАД, 69-й километр, внешняя сторона, Москва, Россия"
70,POINT (37.392634 55.850105),"МКАД, 70-й километр, внешняя сторона, Москва, Россия"
71,POINT (37.397144 55.858503),"МКАД, 71-й километр, внешняя сторона, Москва, Россия"
72,POINT (37.404348 55.866445),"МКАД, 72-й километр, внешняя сторона, Москва, Россия"
73,POINT (37.415757 55.872617),"МКАД, 73-й километр, внешняя сторона, Москва, Россия"
74,POINT (37.429573 55.877087),"МКАД, 74-й километр, внешняя сторона, Москва, Россия"
75,POINT (37.444359 55.881571),"МКАД, 75-й километр, внешняя сторона, Москва, Россия"
76,POINT (37.459577 55.882889),"МКАД, 76-й километр, внешняя сторона, Москва, Россия"
77,POINT (37.474516 55.885191),"МКАД, 77-й километр, внешняя сторона, Москва, Россия"
78,POINT (37.489023 55.889033),"МКАД, 78-й километр, внешняя сторона, Москва, Россия"
79,POINT (37.501456 55.894389),"МКАД, 79-й километр, внешняя сторона, Москва, Россия"
80,POINT (37.514275 55.900012),"МКАД, 80-й километр, внешняя сторона, Москва, Россия"
81,POINT (37.528136 55.905613),"МКАД, 81-й километр, внешняя сторона, Москва, Россия"
82,POINT (37.544396 55.907995),"МКАД, 82-й километр, внешняя сторона, Москва, Россия"
83,POINT (37.560395 55.90968),"МКАД, 83-й километр, внешняя сторона, Москва, Россия"
84,POINT (37.575208 55.911098),"МКАД, 84-й километр, внешняя сторона, Москва, Россия"
85,POINT (37.590515 55.909438),"МКАД, 85-й километр, внешняя сторона, Москва, Россия"
86,POINT (37.605023 55.905366),"МКАД, 86-й километр, внешняя сторона, Москва, Россия"
87,POINT (37.619656 55.901627),"МКАД, 87-й километр, внешняя сторона, Москва, Россия"
88,POINT (37.634829 55.898725),"МКАД, 88-й километр, внешняя сторона, Москва, Россия"
89,POINT (37.650424 55.896691),"МКАД, 89-й километр, внешняя сторона, Москва, Россия"
90,POINT (37.666036 55.89554),"МКАД, 90-й километр, внешняя сторона, Москва, Россия"
91,POINT (37.682071 55.89505),"МКАД, 91-й километр, внешняя сторона, Москва, Россия"
92,POINT (37.697999 55.894217),"МКАД, 92-й километр, внешняя сторона, Москва, Россия"
93,POINT (37.711752 55.889654),"МКАД, 93-й километр, внешняя сторона, Москва, Россия"
94,POINT (37.723663 55.883545),"МКАД, 94-й километр, внешняя сторона, Москва, Россия"
95,POINT (37.735422 55.877693),"МКАД, 95-й километр, внешняя сторона, Москва, Россия"
96,POINT (37.747065 55.871723),"МКАД, 96-й километр, внешняя сторона, Москва, Россия"
97,POINT (37.758823 55.865677),"МКАД, 97-й километр, внешняя сторона, Москва, Россия"
98,POINT (37.770717 55.859554),"МКАД, 98-й километр, внешняя сторона, Москва, Россия"
99,POINT (37.782584 55.853445),"МКАД, 99-й километр, внешняя сторона, Москва, Россия"
100,POINT (37.794558 55.84727),"МКАД, 100-й километр, внешняя сторона, Москва, Россия"
101,POINT (37.806596 55.841043),"МКАД, 101-й километр, внешняя сторона, Москва, Россия"
102,POINT (37.818642 55.834861),"МКАД, 102-й километр, внешняя сторона, Москва, Россия"
103,POINT (37.830123 55.828839),"МКАД, 103-й километр, внешняя сторона, Москва, Россия"
104,POINT (37.837408 55.8213),"МКАД, 104-й километр, внешняя сторона, Москва, Россия"
105,POINT (37.839187 55.812231),"МКАД, 105-й километр, внешняя сторона, Москва, Россия"
106,POINT (37.840004 55.802821),"МКАД, 106-й километр, внешняя сторона, Москва, Россия"
107,POINT (37.841019 55.793763),"МКАД, 107-й километр, внешняя сторона, Москва, Россия"
108,POINT (37.841963 55.785113),"МКАД, 108-й километр, внешняя сторона, Москва, Россия"
109,GEOMETRYCOLLECTION EMPTY,
